Autores,Título,Fonte do artigo,Palavras-chave,Resumo do artigo,Endereço dos Autores,Instituição de vínculo dos autores,Agência de Fomento,Contagem do número de citações,Ano da publicação,Áreas de pesquisa
"Floriano, E; Alchieri, E; Aranha, DF; Solis, P",Providing privacy on the tuple space model,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,Tuple space; Privacy; Searchable encryption; Homomorphic encryption,"Conceptually, tuple spaces are shared memory objects that provide operations to store and retrieve ordered sets of data, called tuples. Tuples stored in a tuple space are accessed by the contents of their fields, working as an associative memory. Although there are some proposals for secure tuple spaces, accessing tuples through field contents makes these systems susceptible to attacks that could impair user and data privacy, since servers must access tuple data. In order to deal with these limitations and provide privacy in the tuple space model, this paper proposes some extensions to DEPSPACE, a tuple space system that implements dependability and security properties through a set of mechanisms that are not enough to ensure privacy. The resulting system provides privacy and, at the same time, allows tuple selection/matches similar to the traditional insecure model, i.e., it does not constraint the matching possibilities. The main problem to be addressed is that servers must select tuples based on their contents without knowing them. The proposed solution uses robust cryptographic schemes, as order-preserving encryption and homomorphic encryption, to provide this functionality without revealing the tuple contents. An analysis concerning security aspects of DEPSPACE is presented, as well as the benefits of the proposed solutions. A set of experiments, executed with an implementation of the proposed protocols, shows the feasibility of the proposed solutions and shed some light on both the behavior of the system and the costs to provide privacy in the tuple spaces model.","[Floriano, Edson; Alchieri, Eduardo; Solis, Priscila] Univ Brasilia, UnB, Dept Comp Sci, Brasilia, DF, Brazil; [Aranha, Diego F.] Univ Estadual Campinas, UNICAMP, Inst Comp, Campinas, SP, Brazil",Universidade de Brasilia; Universidade Estadual de Campinas,,37,2017,Computer Science
"Silva, AMR; Sobral, MFF",Multicriteria Model to Sort Suppliers in a Brazilian Dairy Industry,INTERNATIONAL JOURNAL OF DECISION SUPPORT SYSTEM TECHNOLOGY,Dairy Industry; ELECTRE TRI; Multicriteria Decision Aid,"This paper describes a real application of a multicriteria decision aid to sort suppliers in the Brazilian dairy industry located in Serra Talhada City. This region is very arid, and farmers have difficulty maintaining the quality required for dairy production. Five criteria were identified by the dairy farmers: production capacity, product quality, cost, transportation and distance from the manufacturing site. The most appropriate method was chosen to sort clients with respect to the preferred structure of the decision maker to obtain the parameters. This study involved eight milk suppliers that were allocated into three ordinated classes. No supplier was allocated into the best class (dvery good), five were considered regular, and three were inadequate. The use of multicriteria modeling enabled the decision maker to establish a new metric to evaluate suppliers while simultaneously considering multiple criteria.","[Rodrigues Silva, Ana Maria; Falcao Sobral, Marcos Felipe] Univ Fed Rural Pernambuco, Ponte Dos Carvalhos, Brazil",Universidade Federal Rural de Pernambuco (UFRPE),,42,2017,Computer Science
"Messias, J; Diniz, J; Soares, E; Ferreira, M; AraAjo, M; Bastos, L; Miranda, M; Benevenuto, F",An evaluation of sentiment analysis for mobile devices,SOCIAL NETWORK ANALYSIS AND MINING,Sentiment analysis; Performance evaluation; Mobile; Android,"Sentiment analysis has become a key tool to extract knowledge from data containing opinions and sentiments, particularly, data from online social systems. With the increasing use of smartphones to access social media platforms, a new wave of applications that explore sentiment analysis in the mobile environment is beginning to emerge. However, there are various existing sentiment analysis methods and it is unclear which of them are deployable in the mobile environment. In this paper, we provide the first of a kind study in which we compare the performance of 14 sentence-level sentiment analysis methods in the mobile environment. To do that, we adapted these methods to run on Android OS and then, we measure their performance in terms of memory, CPU, and battery consumption. Our findings unveil methods that require almost no adaptations and run relatively fast as well as methods that could not be deployed due to excessive use of memory. We hope our effort provides a guide to developers and researchers interested in exploring sentiment analysis as part of a mobile application and can help new applications to be executed without the dependency of a server-side API. We also share the Android API that implements all the 14 sentiment analysis methods used in this paper.","[Messias, Johnnatan; Diniz, Joo P.; Soares, Elias; Ferreira, Miller; AraAjo, Matheus; Bastos, Lucas; Miranda, Manoel; Benevenuto, Fabricio] Univ Fed Minas Gerais, Belo Horizonte, MG, Brazil",Universidade Federal de Minas Gerais,Humboldt FoundationAlexander von Humboldt Foundation; Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES); Nacional de Desenvolvimento Cientifico e Tecnologico (CNPq)Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); Fundacao de Amparo a Pesquisa do Estado de Minas Gerais (Fapemig)Fundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG),43,2017,Computer Science
"do Nascimento, NM; de Lucena, CJP",FIoT: An agent-based framework for self-adaptive and self-organizing applications based on the Internet of Things,INFORMATION SCIENCES,Internet of things (IoT); Multi-agent system; Machine learning; Self-organizing; Self-adaptive; Quantified things,"Billions of resources, such as cars, clothes, household appliances and even food are being connected to the Internet forming the Internet of Things (IoT). Subsets of these resources can work together to create new self-regulating IoT applications such as smart health, smart communities and smart homes. However, several challenging issues need to be addressed before this vision of applications based on IoT concepts becomes a reality. Because many IoT applications will be distributed over a large number of interacting devices, centralized control will not be possible and so open problems will need to be solved that relate to building locally operating self-organizing and self-adaptive systems. As an initial step in creating IoT applications with these features, this paper presents a Framework for IoT (FloT). The approach is based on Multi-Agent Systems (MAS) and Machine Learning Techniques, such as neural networks and evolutionary algorithms. To illustrate the use of FloT, the paper contains two different IoT applications: (i) Quantified Things and (ii) Smart traffic control. We show how flexible points of our framework are instantiated to generate these IoT application. (C) 2016 Elsevier Inc. All rights reserved.","[do Nascimento, Nathalia Moraes; Pereira de Lucena, Carlos Jose] Pontif Catholic Univ Rio de Janeiro PUC Rio, Dept Informat, Software Engn Lab LES, BR-22453900 Rio De Janeiro, RJ, Brazil",,Laboratory of Software Engineering (LES) at PUC-Rio; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES); FAPERJFundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio De Janeiro (FAPERJ); PUC-Rio,61,2017,Computer Science
"Benevides, M; Lima, IMS",Action Models with Postconditions,COMPUTACION Y SISTEMAS,Epistemic logic; action models; postconditions,"This work proposes a extension of dynamic epistemic logic to work with assignment. The difference between this work and others works, such as [7], is the use of actions models, from DEL, to make Boolean assignments to the propositions, instead of creating new mechanisms to make the assignments. We extend the definition of action model by creating the postcondition property of each state of the model, making it possible to assign Boolean values to the propositions.","[Benevides, Mario] Univ Fed Rio de Janeiro, Programa Engn Sistemas & Comp, Rio De Janeiro, Brazil; Univ Fed Rio de Janeiro, Inst Matemat, Rio De Janeiro, Brazil",Universidade Federal do Rio de Janeiro; Universidade Federal do Rio de Janeiro,,9,2017,Computer Science
"Sanchez, PLP; Giova, G",Digital Chain of Custody Quality Assessment,INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY,Computer forensics; digital evidence; chain of custody; quality assessment,"Modern society demands products and services increasingly sophisticated and effective, a desire that has been met through the development of more powerful, reliable and cost-efficient electronic systems. The ubiquity of these systems makes the data often stored in them to be used as evidence to prove the truth of the facts discussed in lawsuits. However, usually, the chain of custody software is insufficient by itself to guarantee the courts the quality of those digital evidences. This paper analyzes the quality gap existing between complex inspected systems and generally a limited procedure is used to document forensic inspections, and then it proposes a method to improve the reliability of the chain of custody.","[Prospero Sanchez, Pedro Luis; Giova, Giuliano] Univ Sao Paulo, Escola Politecn, Sao Paulo, Brazil",Universidade de Sao Paulo,,17,2016,Computer Science
"Osaku, D; Nakamura, RYM; Pereira, LAM; Pisani, RJ; Levada, ALM; Cappabianco, FAM; Falco, AX; Papa, JP",Improving land cover classification through contextual-based optimum-path forest,INFORMATION SCIENCES,Land cover classification; Optimum-path forest; Contextual classification,"Traditional machine learning algorithms very often assume statistically independent data samples. However, this is clearly not the case in remote sensing image applications, in which pixels present spatial and/or temporal dependencies. In this work, it has been presented an approach to improve land cover image classification using a contextual approach based on optimum-path forest (OPF) and the well-known Markov random fields (MRFs), hereinafter called OPF-MRF. In addition, it is also introduced a framework to the optimization of the amount of contextual information used by OPF-MRF. Experiments over high- and medium-resolution satellite (CBERS-2B, Landsat 5 TM, lkonos-2 MS and Geoeye) and radar (ALOS-PALSAR) images covering the area of two Brazilian cities have shown the proposed approach can overcome several shortcomings related to standard OPF classification. In some cases, the proposed approach outperformed traditional OFF in about 9% of recognition rate, which is crucial for land cover classification. (C) 2015 Elsevier Inc. All rights reserved.","[Osaku, D.; Cappabianco, F. A. M.] UFSCar Univ Fed Sao Carlos, Dept Comp, Sao Carlos, SP, Brazil; [Nakamura, R. Y. M.] Big Data Brasil, Sao Paulo, Brazil; [Pereira, L. A. M.; Falco, A. X.] Univ Estadual Campinas, Inst Comp, Campinas, SP, Brazil; [Pisani, R. J.] Western Univ Sao Paulo, Presidente Prudente, SP, Brazil; [Cappabianco, F. A. M.] Univ Fed Sao Paulo, Sao Jose Dos Campos, Brazil; [Papa, Joao P.] Sao Paulo State Univ, Dept Comp, Bauru, Brazil",Universidade Federal de Sao Carlos; Universidade Estadual de Campinas; Universidade Federal de Sao Paulo (UNIFESP); Universidade Estadual Paulista,"FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2009/16206-1, 2012/06472-9, 2013/20387-7, 2014/16250-9]; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [303182/2011-3, 470571/2013-6, 306166/2014-3]",44,2015,Computer Science
"Costa, KAP; Pereira, LAM; Nakamura, RYM; Pereira, CR; Papa, JP; Falcao, AX",A nature-inspired approach to speed up optimum-path forest clustering and its application to intrusion detection in computer networks,INFORMATION SCIENCES,Intrusion detection; Optimum-path forest; Meta-heuristic; Clustering,"We propose a nature-inspired approach to estimate the probability density function (pdf) used for data clustering based on the optimum-path forest algorithm (OPFC). OPFC interprets a dataset as a graph, whose nodes are the samples and each sample is connected to its k-nearest neighbors in a given feature space (a k-nn graph). The nodes of the graph are weighted by their pdf values and the pdf is computed based on the distances between the samples and their k-nearest neighbors. Once the k-nn graph is defined, OPFC finds one sample (root) at each maximum of the pdf and propagates one optimum-path tree (cluster) from each root to the remaining samples of its dome. Clustering effectiveness will depend on the pdf estimation, and the proposed approach efficiently computes the best value of k for a given application. We validate our approach in the context of intrusion detection in computer networks. First, we compare OPFC with data clustering based on k-means, and self-organization maps. Second, we evaluate several metaheuristic techniques to find the best value of k. (C) 2014 Elsevier Inc. All rights reserved.","[Costa, Kelton A. P.; Nakamura, Rodrigo Y. M.; Papa, Joao P.] Univ Estadual Paulista, Dept Comp, Bauru, Brazil; [Pereira, Luis A. M.; Falcao, Alexandre Xavier] Univ Estadual Campinas, Inst Comp, Campinas, Brazil; [Pereira, Clayton R.] Univ Fed Sao Carlos, Dept Comp, BR-13560 Sao Carlos, SP, Brazil",Universidade Estadual Paulista; Universidade Estadual de Campinas; Universidade Federal de Sao Carlos,"FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2009/16206-1, 2010/02045-3, 2011/14058-5, 2011/14094-1, 2013/20387-7]; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [303673/2010-9, 3031821/2011-3, 470571/2013-6]; CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)",54,2015,Computer Science
"Martins, CL; de Almeida, AT; Morais, DC",Design of a Decision Support System for Resource Allocation in Brazil Public Universities,INTERNATIONAL JOURNAL OF DECISION SUPPORT SYSTEM TECHNOLOGY,Budgeting; Decision Support System; Design; Model-Driven DSS; Resource Allocation,"This study aims to demonstrate how the design of a decision support system (DSS) can improve the process of internal resource allocation in Brazil public universities. Currently, there are not any kind of general DSS for such a problem. To do so, the analysis is carried out by identifying the general model from the Brazilian Ministry of Education and the models from every federal university, finding similarities between each model, and dividing the models into categories, according to their similarities. Thus, a DSS resource allocation model prototype was proposed. The perspectives are to contribute to the decision problem of how to allocate resources properly faced by Brazilians public universities, take safer and reliable decisions, seeking to reduce uncertainties and to maximize their results.","[Martins, Carolina Lino; de Almeida, Adiel Teixeira; Morais, Danielle Costa] Univ Fed Pernambuco, Ctr Decis Syst & Informat Dev, Recife, PE, Brazil",Universidade Federal de Pernambuco,Brazilian Research Council (CNPq)Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); FACEPE (Foundation for support of Research by the State of Pernambuco),28,2019,Computer Science
"Ribas, LC; Neiva, MB; Bruno, OM",Distance transform network for shape analysis,INFORMATION SCIENCES,Shape classification; Shape analysis; Complex network; Euclidean distance transform,"Shape is known as an important source of information in object analyzes and has been studied for many years for this context. In the object classification task, several challenges such as variations in rotation and scale, noise, and degradation make the problem even harder. This paper proposes the Distance Transform Network (DTN), which combines the power of networks and the richness of information provided from Euclidean distance transform for shape analysis. First, a distance map is obtained by the application of the Euclidean distance transform on each contour. Thus, each radius of dilatation is modeled as a network. Then, degree measurements of the dynamic evolution network are used to characterize the contour. Finally, a robust feature vector is composed by characteristics of different radiuses of dilatation. The methodology was tested in seven benchmarks available databases, including two otolith and three sets containing shape of leaves species which presents challenging contours with a lot of intra-class variations. The results against literature methods show that the proposed DTN is effective for natural shapes classification according to the higher success rates obtained in all cases. The advantages of our approach include robustness to degradation and noise, and tolerance to variations in the shapes scale and orientation. (C) 2018 Published by Elsevier Inc.","[Ribas, Lucas Correia; Neiva, Mariane Barros; Bruno, Odemir Martinez] Univ Sao Paulo, Inst Math & Comp Sci, Ave Trabalhador Sao Carlense 400, BR-13566590 Sao Carlos, SP, Brazil; [Ribas, Lucas Correia; Neiva, Mariane Barros; Bruno, Odemir Martinez] Univ Sao Paulo, Sao Carlos Inst Phys, Sci Comp Grp, POB 369, BR-13560970 Sao Carlos, SP, Brazil",Universidade de Sao Paulo; Universidade de Sao Paulo,"Sao Paulo Research Foundation (FAPESP)Fundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2016/23763-8]; CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES) [9254772/m, 132409/2014-3]; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [307797/2014-7]; FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [14/08026-1]",48,2019,Computer Science
"Verona, L; Oliveira, J; Hisse, JVD; Campos, MLM",Metrics for network power based on Castells' Network Theory of Power: a case study on Brazilian elections,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,Government open data; Social network analysis; Big data; Power metrics,The identification of power groups that act within the political structure is a tool for citizens and also a challenging research topic as an unstable and complex force of interests system. This paper presents metrics based on sociologist Manuel Castells' Network Theory of Power that reflect key factors for evaluating power: the imbalance between relationships; the ability to program the rules and protocols of the network; and the ability to serve as a switcher between two or more networks. A case study was developed using a network built on data from Brazilian Elections about electoral donations since 2002. The application of the metrics enabled to highlight some of the corporate and party interests dominant in the Brazilian context. The proposed metrics reflect the main contribution of this work: an approximation between sociology theory and topological analysis of a network. The use of domain knowledge combined with bottom-up strategies can leverage the comprehension of power and influence in political networks.,"[Verona, Leticia; Oliveira, Jonice; da Cunha Hisse, Jose Vitor; Machado Campos, Maria Luiza] Univ Fed Rio de Janeiro, PPGI, Rio De Janeiro, Brazil",Universidade Federal do Rio de Janeiro,CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); FAPERJFundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio De Janeiro (FAPERJ),36,2018,Computer Science
"Amorim, WP; Falcao, AX; Papa, JP",Multi-label semi-supervised classification through optimum-path forest,INFORMATION SCIENCES,Semi-supervised learning; Multi-label assignment; Optimum-path forest classifiers,"Multi-label classification consists of assigning one or multiple classes to each sample in a given dataset. However, the project of a multi-label classifier is usually limited to a small number of supervised samples as compared to the number of all possible label combinations. This scenario favors semi-supervised learning methods, which can cope with the absence of supervised samples by adding unsupervised ones to the training set. Recently, we proposed a semi-supervised learning method based on optimum connectivity for single-label classification. In this work, we extend it for multi-label classification with considerable effectiveness gain. After a single-label data transformation, the method propagates labels from supervised to unsupervised samples, as in the original approach, by assuming that samples from the same class are more closely connected through sequences of nearby samples than samples from distinct classes. Given that the procedure is more reliable in high-density regions of the feature space, an additional step repropagates labels from the maxima of a probability density function to correct possible labeling errors from the previous step. Finally, the data transformation is reversed to obtain multiple labels per sample. The new approach is experimentally validated on several datasets in comparison with state-of-the-art methods. (C) 2018 Elsevier Inc. All rights reserved.","[Amorim, Willian P.] Univ Fed Mato Grosso do Sul, Inst Comp, Campo Grande, MS, Brazil; [Falcao, Alexandre X.] Univ Estadual Campinas, Inst Comp, Campinas, SP, Brazil; [Papa, Joao P.] Sao Paulo State Univ, Dept Comp, Bauru, SP, Brazil",Universidade Federal de Mato Grosso do Sul; Universidade Estadual de Campinas; Universidade Estadual Paulista,"Fundect-MSFundacao de Apoio ao Desenvolvimento do Ensino Ciencia e Tecnologia do Estado de Mato Grosso do Sul (FUNDECT MS); CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ) [303673/2010-9, 479070/2013-0, 302970/2014-2, 303182/2011-3, 470571/2013-6, 306166/2014-3]; FAPESPFundacao de Amparo a Pesquisa do Estado de Sao Paulo (FAPESP) [2013/20387-7, 2014/12236-1, 2014/16250-9]",35,2018,Computer Science
"Caetano, JA; Lima, HS; Santos, MF; Marques-Neto, HT",Using sentiment analysis to define twitter political users' classes and their homophily during the 2016 American presidential election,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,Internet; Online social networks; Sentiment analysis; Homophily,"This paper proposes an analysis of political homophily among Twitter users during the 2016 American Presidential Election. We collected 4.9 million tweets of 18,450 users and their contact network from August 2016 to November 2016. We defined six user classes regarding their sentiment towards Donald Trump and Hillary Clinton: whatever, Trump supporter, Hillary supporter, positive, neutral, and negative. Next, we analyzed their political homophily in three scenarios. Firstly, we analyzed the Twitter follow, mention and retweet connections either unidirectional and reciprocal. In the second scenario, we analyzed multiplex connections, and in the third one, we analyzed friendships with similar speeches. Our results showed that negative users, users supporting Trump, and users supporting Hillary had homophily in all analyzed scenarios. We also found out that the homophily level increase when there are reciprocal connections, similar speeches, or multiplex connections.","[Caetano, Josemar A.; Lima, Helder S.; Santos, Mateus F.; Marques-Neto, Humberto T.] Pontifical Catholic Univ Minas Gerais PUC Minas, Dept Comp Sci, Belo Horizonte, MG, Brazil",Pontificia Universidade Catolica de Minas Gerais,MASWeb [FAPEMIG/PRONEX APQ-01400-14]; FAPEMIGFundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG) [APQ-02924-16]; PUC-Minas; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES); STIC [AmSud 18-STIC-07],36,2018,Computer Science
"Silva, WJA",Make Flows Great Again: A Hybrid Resilience Mechanism for OpenFlow Networks,INFORMATION,resilience mechanism; OpenFlow network; flow management; software-defined networking,"A top concern in Software-Defined Networking (SDN) is the management of network flows. The resource limitation in SDN devices, e.g., Ternary Content Addressable Memory (TCAM) size, and the signaling overhead between the control and data plane elements can impose scalability restrictions for a network. A notable SDN technology is the OpenFlow protocol, and failures in links and nodes inside an OpenFlow network could lead to drawbacks, such as packet loss. This work proposes the Local Node Group fast reroute (LONG), a hybrid resilience mechanism for OpenFlow networks that combines protection and restoration resilience mechanisms. The results achieved indicate that LONG is a practical approach when compared against the state-of-the-art algorithms.","[Adriano Silva, Walber Jose] Univ Fed Pernambuco, Ctr Informat, BR-50740560 Recife, PE, Brazil",Universidade Federal de Pernambuco,,43,2018,Computer Science
"Cavalcanti, ER; de Souza, JAR; Spohn, MA; Gomes, RCD; da Costa, AFBF","VANETs' research over the past decade: overview, credibility, and trends",ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,Survey; Vehicular networks; Simulation; Reproducibility,"Since its inception, Vehicular Ad hoc Networks (VANETs) have been attracting much attention from both academia and industry. As for other wireless networking areas, scientific advancements are mainly due to the employment of simulation tools and mathematical models. After surveying 283 papers published in the last decade on vehicular networking, we pinpoint the main studied topics as well as the most employed tools, pointing out the changes in research subject preference over the years. As a key contribution, we also evaluate to what extent the research community has evolved concerning the principles of credibility in simulation-based studies, such as repeatability and replicability, comparing our results with previous studies.","[Cavalcanti, Elmano Ramalho] Fed Inst Pernambuco, Recife, PE, Brazil; [Rodrigues de Souza, Jose Anderson; de Morais Gomes, Reinaldo Cezar] Univ Fed Campina Grande, Campina Grande, Brazil; [Spohn, Marco Aurelio] Fed Univ Fronteira Sul, Chapeco, SC, Brazil; [Batista Ferreira da Costa, Anderson Fabiano] Fed Inst Paraiba, Joao Pessoa, Paraiba, Brazil",Instituto Federal de Pernambuco (IFPE); Universidade Federal de Campina Grande; Universidade Federal da Fronteira Sul; Instituto Federal da Paraiba (IFPB),,31,2018,Computer Science
"Maran, V; Machado, GM; Machado, A; Augustin, I; de Oliveira, JPM",UPCaD: A Methodology of Integration Between Ontology-Based Context-Awareness Modeling and Relational Domain Data,INFORMATION,context-awareness; data query; relational database; linking rules; methodology,"Context-awareness is a key feature for ubiquitous computing scenarios applications. Currently, technologies and methodologies have been proposed for the integration of context-awareness concepts in intelligent information systems to adapt them to the execution of services, user interfaces and data retrieval. Recent research proposed conceptual modeling alternatives to the integration of the domain modeling in RDBMS and context-awareness modeling. The research described using highly expressiveness ontologies. The present work describes the UPCaD (Unified Process for Integration between Context-Awareness and Domain) methodology, which is composed of formalisms and processes to guide the data integration considering RDBMS and context modeling. The methodology was evaluated in a virtual learning environment application. The evaluation shows the possibility to use a highly expressive context ontology to filter the relational data query and discusses the main contributions of the methodology compared with recent approaches.","[Maran, Vinicius; Machado, Guilherme Medeiros; de Oliveira, Jose Palazzo M.] Univ Fed Rio Grande do Sul, Inst Informat, BR-91540000 Porto Alegre, RS, Brazil; [Machado, Alencar; Augustin, Iara] Univ Fed Santa Maria, Ctr Tecnol, BR-97105900 Santa Maria, RS, Brazil; [Maran, Vinicius] Univ Fed Santa Maria, Coordenadoria Acad, Cachoeira do Sul, Brazil",Universidade Federal do Rio Grande do Sul; Universidade Federal de Santa Maria (UFSM); Universidade Federal de Santa Maria (UFSM),"Federal University of Rio Grande do Sul; Federal University of Santa Maria; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); Fapergs, BrazilFundacao de Amparo a Ciencia e Tecnologia do Estado do Rio Grande do Sul (FAPERGS) [17/2551-0000875-8]",38,2018,Computer Science
"Sanches, C; Ferreira, S; Santos, G; Paixao, MR; Meireles, M",TODA: Software for Multiple-Criteria Decisions,INTERNATIONAL JOURNAL OF DECISION SUPPORT SYSTEM TECHNOLOGY,AHP; Decision-Making Process; MCDM; Multiple-Criteria Decision-Making; Rational Decision; TODA; Trade-Off Decision Analysis; Trade-Off,"This paper describes the use and application of the TODA (Trade-off Decision Analysis) method through a case study. The method uses the concept of trade-off applied to a prioritization matrix and, to define the weights, it takes the concept of causality into account. Studies have shown that the TODA achieves the same results as the competing AHP method. However, it is easier to operate. The methodology used is a case study concerning the choice of the type of car for a fleet of vehicles to be driven by salespeople. Together with the software application process, the methods that aided the weighting of the criteria are described and how the values of the alternatives are converted into coefficients of the objective function. The results clearly show that the method is easily applied, but the limitations of the case study method preclude forming generalizations.","[Sanches, Cida; Meireles, Manuel] FACCAMP, Adm Masters Program, Aracariguama, Brazil; [Ferreira, Samuel, Jr.] SENAC Univ Ctr, Jundiai, Brazil; [Santos, Givaldo] UFScar Univ Fed Sao Carlos, Prod Engn, Campinas, SP, Brazil; [Paixao, Marisa Regina] UNIP Univ Paulista, Sao Paulo, Brazil",Faculdade Campo Limpo Paulista; Centro Universitario Senac; Universidade Federal de Sao Carlos; Universidade Paulista,,48,2018,Computer Science
"Salles, T; Rocha, L; Motirao, F; Goncalves, M; Viegas, F; Meira, W",A Two-Stage Machine learning approach for temporally-robust text classification,INFORMATION SYSTEMS,Automatic docundent classification; Temporal weighting function; Fully-Automated machine learning process,"One of the most relevant research topics, in Information Retrieval. is Automatic Document Classification (ADC). Several ADC algorithms have been proposed in the literature. However, the majority of these algorithms assume that the underlying data distribution does not change over time. Previous work has demonstrated evidence of the negative impact of three main temporal effects in representative datasets textual datasets; reflected by variations observed over time in the class distribution, in the pairwise class similarities and in the relationships between terms and classes [1]. In order to minimize the impact of temporal effects in ADC algorithms, we have previouly introduced the notion of a temporal weighting function (TWF), which reflects the varying nature of textual datasets. We have also proposed a procedure to derive the TWF's expression and parameters. However, the derivation of the TWF requires the running of explicit and complex statistical tests, which are very cumbersome or can not even be run in several cases. In this article, we propose a machine learning methodology to, automatically learn the TWF without the need to perform any statistical tests. We also propose new strategies to incorporate the TWF into ADC algorithms, which we call temporally-aware classifiers. Experiments showed that the fully-automated temporally-aware classifiers achieved significant gains (up to 17%) when compared to their non-temporal counterparts, even outperforming some state-of-the-art algorithms (e.g., SVM) in most cases, with large reductions in execution time. (C) 2017 Elsevier Ltd. All rights reserved.","[Salles, Thiago; Goncalves, Marcos; Viegas, Felipe; Meira, Wagner, Jr.] Univ Fed Minas Gerais, Dept Comp Sci, Belo Horizonte, MG, Brazil; [Rocha, Leonardo; Motirao, Fernando] Univ Fed Sao Joao Del Rei, Dept Comp Sci, Sao Joao Del Rei, MG, Brazil",Universidade Federal de Minas Gerais; Universidade Federal de Sao Joao del-Rei,CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ); CAPESCoordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES); FINEPFinanciadora de Inovacao e Pesquisa (Finep); FapemigFundacao de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG); MASWEB; INCT-Cyber; INWEB,51,2017,Computer Science
"Faria, VD; Goncalves, JA; da Silva, CAM; Vieira, GD; Mascarenhas, DM",SDToW: A Slowloris Detecting Tool for WMNs,INFORMATION,DoS; Slowloris attack; WMN; ADoS; HTTP attack,"Denial of service (DoS) attacks play a significant role in contemporary cyberspace scenarios. A variety of different DoS attacks pollute networks by exploring various vulnerabilities. A group of DoS called application DoS attacks explore application vulnerabilities. This work presents a tool that detects and blocks an application DoS called Slowloris on wireless mesh networks (WMNs). Our tool, called SDToW, is designed to effectively use the structure of the WMNs to block the Slowloris attack. SDToW uses three different modules to detect and block the attack. Each module has its specific tasks and thus optimizes the overall detection and block efficiency. Our solution blocks the attacker on its first WMN hop, reducing the malicious traffic on the network and avoiding further attacks from the blocked user. The comparison results show that SDToW performs with 66.7% less processing consumption and 89.1% less memory consumption than Snort. Our solution does not limit the number of parallel connections per user. Hence, by avoiding this limitation, SDToW has a lower incidence of false positive errors than Snort.","[Faria, Vinicius da Silva; Goncalves, Jessica Alcantara; Silva, Camilla Alves Mariano da; Vieira, Gabriele de Brito; Mascarenhas, Dalbert Matos] Ctr Fed Educ Tecnol Celso Suckow da Foseca CEFET, BR-25600000 Petropolis, RJ, Brazil",,CEFET/RJ; CNPqConselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ),50,2020,Computer Science
